"REF_DATE","GEO","DGUID","Statistics","Car types","Companies","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Intermodal","Canadian National","Number","223","units ","0","v1035338286","1.2.4.1","7642","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Intermodal","Canadian Pacific","Number","223","units ","0","v1035338287","1.2.4.2","2797","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Intermodal","Burlington Northern Santa Fe","Number","223","units ","0","v1035338288","1.2.4.3","19","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Intermodal","CSXT","Number","223","units ","0","v1035338289","1.2.4.4","5","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Box","Canadian National","Number","223","units ","0","v1035338290","1.2.6.1","6103","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Box","Canadian Pacific","Number","223","units ","0","v1035338291","1.2.6.2","2209","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Box","Burlington Northern Santa Fe","Number","223","units ","0","v1035338292","1.2.6.3","78","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Box","CSXT","Number","223","units ","0","v1035338293","1.2.6.4","3","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Covered hopper","Canadian National","Number","223","units ","0","v1035338294","1.2.7.1","30881","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Covered hopper","Canadian Pacific","Number","223","units ","0","v1035338295","1.2.7.2","27413","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Covered hopper","Burlington Northern Santa Fe","Number","223","units ","0","v1035338296","1.2.7.3","132","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Covered hopper","CSXT","Number","223","units ","0","v1035338297","1.2.7.4","149","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Gondola","Canadian National","Number","223","units ","0","v1035338298","1.2.8.1","8854","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Gondola","Canadian Pacific","Number","223","units ","0","v1035338299","1.2.8.2","5997","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Gondola","Burlington Northern Santa Fe","Number","223","units ","0","v1035338300","1.2.8.3","23","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Gondola","CSXT","Number","223","units ","0","v1035338301","1.2.8.4","2","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Multilevel automotive","Canadian National","Number","223","units ","0","v1035338302","1.2.9.1","2744","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Multilevel automotive","Canadian Pacific","Number","223","units ","0","v1035338303","1.2.9.2","1788","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Multilevel automotive","Burlington Northern Santa Fe","Number","223","units ","0","v1035338304","1.2.9.3","4","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Multilevel automotive","CSXT","Number","223","units ","0","v1035338305","1.2.9.4","0","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Open hopper","Canadian National","Number","223","units ","0","v1035338306","1.2.10.1","72","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Open hopper","Canadian Pacific","Number","223","units ","0","v1035338307","1.2.10.2","376","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Open hopper","Burlington Northern Santa Fe","Number","223","units ","0","v1035338308","1.2.10.3","198","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Open hopper","CSXT","Number","223","units ","0","v1035338309","1.2.10.4","5","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Tank","Canadian National","Number","223","units ","0","v1035338310","1.2.11.1","24333","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Tank","Canadian Pacific","Number","223","units ","0","v1035338311","1.2.11.2","14977","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Tank","Burlington Northern Santa Fe","Number","223","units ","0","v1035338312","1.2.11.3","352","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Tank","CSXT","Number","223","units ","0","v1035338313","1.2.11.4","735","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Other car types","Canadian National","Number","223","units ","0","v1035338314","1.2.14.1","6608","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Other car types","Canadian Pacific","Number","223","units ","0","v1035338315","1.2.14.2","1515","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Other car types","Burlington Northern Santa Fe","Number","223","units ","0","v1035338316","1.2.14.3","101","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","Other car types","CSXT","Number","223","units ","0","v1035338317","1.2.14.4","6","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","System-wide","Canadian National","Number","223","units ","0","v1035338318","1.2.15.1","87240","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","System-wide","Canadian Pacific","Number","223","units ","0","v1035338319","1.2.15.2","57072","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","System-wide","Burlington Northern Santa Fe","Number","223","units ","0","v1035338320","1.2.15.3","907","","","","0"
"2018-11-24","Canada","2016A000011124","Weekly average cars on line","System-wide","CSXT","Number","223","units ","0","v1035338321","1.2.15.4","904","","","","0"
"2018-12-01","Canada","2016A000011124","Weekly average cars on line","Intermodal","Canadian National","Number","223","units ","0","v1035338286","1.2.4.1","7444","","","","0"
"2018-12-01","Canada","2016A000011124","Weekly average cars on line","Intermodal","Canadian Pacific","Number","223","units ","0","v1035338287","1.2.4.2","2835","","","","0"
